Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,29952.27,4166.15,998000.00,161,0,6,0,19,0,179,0,16,0.6409064188025938,2544
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,267926.50,18696.24,4654000.00,1600,0,38,0,123,0,1711,0,147,0.900817969460943,19500
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,292488.32,145471.44,10115500.00,3327,0,18,0,17,0,4023,0,103,0.7929155463983374,45264
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,408982.36,336400.00,124817400.00,5771,0,0,17,21,0,6913,0,167,0.9743865996157047,74232
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,418327.72,301504.62,122587200.00,5315,0,17,0,19,0,6170,0,142,0.979570611901124,68712
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,368258.84,251580.00,116732200.00,4799,0,0,39,44,0,5466,0,133,0.9748995838659152,61992
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,440503.88,259285.00,136716000.00,5418,0,0,26,28,0,6465,0,156,0.9745015696715108,69072
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,414300.32,225300.00,132417600.00,4952,0,0,32,32,0,5670,0,135,0.9750819800070167,63576
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,431145.12,196185.00,135115200.00,4857,37,0,30,7,33,5835,21,137,0.9728670878296254,62004
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,491224.57,0.00,0,2818,0,10,0,21,0,3356,79,1.2539604105726583,32676
